Name,Access_Source__c,Account_Path__c,Actionability_Score__c,Aggregatable__c,Bucketing_Strategy__c,Business_Concept__c,Canonical_Field_Key__c,Cardinality_Suitability_Score__c,Classification_Basis__c,Cohort_Dimension_Type__c,Cohort_Suitability_Score__c,Cohort_Suitable__c,Controllability_Score__c,Coverage_Pct__c,Direction_Hypothesis__c,Distinct_Count__c,Earliest_Date__c,Eligibility_Status__c,Exclusion_Reason__c,Explainability_Score__c,Field_Label__c,Field_Type__c,Grain__c,Last_Profiled_At__c,Latest_Date__c,Leakage_Risk_Score__c,Measurement_Concepts__c,Metric_Archetypes__c,Observation_Type__c,Origin_System__c,Peer_Group_Utility_Score__c,Populated_Count__c,Predictive_Prior_Score__c,Primary_Source_Role__c,Primary_Theme__c,Profile_Summary__c,Provenance_Role__c,Reference_Evidence__c,Sample_Values__c,Secondary_Themes__c,Source_Confidence_Score__c,Source_Field__c,Source_Object__c,Source_Roles__c,Stability_Prior_Score__c,Windowable__c
Account.Account_Escalation_Status__c,salesforce,Account.Id,0.25,True,PROFILE_CARDINALITY_BEFORE_USE,Account Escalation Status,salesforce:Account:Account_Escalation_Status__c,0.25,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=GROUPING;FILTER;PROCESS_DIMENSION | recommended_use=SEGMENT;FILTER,CATEGORICAL_REVIEW,0.35,False,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,Account Escalation Status,string,Account,,,0.1,PROCESS_STEPS;PROCESS_ESCALATION,STATE_SHARE;BREADTH,CATEGORY_OR_TEXT,salesforce,0.35,,0.5,PROFILE_INPUT,PROCESS,,PROFILE / CRM SOURCE,,,,0.85,Account_Escalation_Status__c,Account,PROFILE_INPUT,0.7,False
Account.Account_Support_Level__c,salesforce,Account.Id,0.25,True,DIRECT_CATEGORY_WITH_MIN_COHORT_SIZE,Support Level,salesforce:Account:Account_Support_Level__c,0.9,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=GROUPING;FILTER;PRODUCT_SERVICE_DIMENSION | recommended_use=SEGMENT;FILTER,CATEGORICAL,0.95,True,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,Support Level,string,Account,,,0.1,PRODUCT_QUALITY;PRODUCT_DEFECTS;PRODUCT_FUNCTIONALITY,STATE_SHARE;BREADTH,CATEGORY_OR_TEXT,salesforce,0.95,,0.5,PROFILE_INPUT,PRODUCT_SERVICE,,PROFILE / CRM SOURCE,historical_recipe_count=1; signal=0; no_signal=1; examples=Cohort by Level of support; recipe_keys=HIST_SFDC_8DD6E6090C41C6D15567 | historical_prior_average=0.45,,,0.85,Account_Support_Level__c,Account,PROFILE_INPUT;COHORT_DIMENSION,0.9,False
Account.AccountNumber,salesforce,Account.Id,0.05,True,,Account Number,salesforce:Account:AccountNumber,0,Identifier; linkage/context only unless explicitly approved. | final_usage=IDENTIFIER | final_roles=IDENTIFIER | recommended_use=CONTEXT_OR_JOIN_ONLY,,0,False,0.5,,CONTEXT_DEPENDENT,,,REVIEW,,0.2,Account Number,string,Account,,,0.2,,STATE_SHARE;BREADTH,CATEGORY_OR_TEXT,salesforce,0,,0.1,IDENTIFIER,,,IDENTIFIER,,,,0.6,AccountNumber,Account,IDENTIFIER,0,False
Account.AccountSource,salesforce,Account.Id,0.25,True,DIRECT_CATEGORY_AFTER_PROFILE,Account Source,salesforce:Account:AccountSource,0.65,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=GROUPING;FILTER | recommended_use=SEGMENT;FILTER,CATEGORICAL,0.7,True,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,Account Source,picklist,Account,,,0.1,,STATE_SHARE;BREADTH,CATEGORY_OR_TEXT,salesforce,0.7,,0.5,PROFILE_INPUT,,,PROFILE / CRM SOURCE,,,,0.85,AccountSource,Account,PROFILE_INPUT;COHORT_DIMENSION,0.8,False
Account.ACV_In_Currency__c,salesforce,Account.Id,0.25,True,BUSINESS_BANDS_OR_QUANTILES,ACV in Source Currency,salesforce:Account:ACV_In_Currency__c,0.85,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=MEASURE;VALUE_DIMENSION | recommended_use=AGGREGATE,NUMERIC_BAND,0.9,True,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,ACV in Source Currency,double,Account,,,0.1,VALUE_COMMERCIAL_GROWTH,MONETARY;TREND;RATIO,MEASURE,salesforce,0.9,,0.5,PROFILE_INPUT,VALUE,,PROFILE / CRM SOURCE,,,,0.85,ACV_In_Currency__c,Account,PROFILE_INPUT;COHORT_DIMENSION,0.9,False
Account.AnnualRevenue,salesforce,Account.Id,0.25,True,BUSINESS_BANDS_OR_QUANTILES,Annual Revenue,salesforce:Account:AnnualRevenue,0.85,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=MEASURE;VALUE_DIMENSION | recommended_use=AGGREGATE,NUMERIC_BAND,0.9,True,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,Annual Revenue,currency,Account,,,0.1,VALUE_COMMERCIAL_GROWTH,MONETARY;TREND;RATIO,MEASURE,salesforce,0.9,,0.5,PROFILE_INPUT,VALUE,,PROFILE / CRM SOURCE,historical_recipe_count=1; signal=0; no_signal=1; examples=Annual Revenue; recipe_keys=HIST_SFDC_1B4F0444196318353ECF | historical_prior_average=0.45,,,0.85,AnnualRevenue,Account,PROFILE_INPUT;COHORT_DIMENSION,0.9,False
Account.Billing_Country_Code__c,salesforce,Account.Id,0.25,True,DIRECT_CATEGORY_WITH_MIN_COHORT_SIZE,Billing Country Code (Source),salesforce:Account:Billing_Country_Code__c,0.9,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=GROUPING;FILTER | recommended_use=SEGMENT;FILTER,CATEGORICAL,0.95,True,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,Billing Country Code (Source),string,Account,,,0.1,,STATE_SHARE;BREADTH,CATEGORY_OR_TEXT,salesforce,0.95,,0.5,PROFILE_INPUT,,,PROFILE / CRM SOURCE,,,,0.85,Billing_Country_Code__c,Account,PROFILE_INPUT;COHORT_DIMENSION,0.9,False
Account.Billing_State_Code__c,salesforce,Account.Id,0.25,True,DIRECT_CATEGORY_WITH_MIN_COHORT_SIZE,Billing State Code (Source),salesforce:Account:Billing_State_Code__c,0.9,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=GROUPING;FILTER;PROCESS_DIMENSION | recommended_use=SEGMENT;FILTER,CATEGORICAL,0.95,True,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,Billing State Code (Source),string,Account,,,0.1,PROCESS_STEPS,STATE_SHARE;BREADTH,CATEGORY_OR_TEXT,salesforce,0.95,,0.5,PROFILE_INPUT,PROCESS,,PROFILE / CRM SOURCE,,,,0.85,Billing_State_Code__c,Account,PROFILE_INPUT;COHORT_DIMENSION,0.9,False
Account.BillingAddress,salesforce,Account.Id,0.25,False,NONE,Billing Address,salesforce:Account:BillingAddress,0.1,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=CONTEXT | recommended_use=REVIEW,NOT_RECOMMENDED,0.1,False,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,Billing Address,address,Account,,,0.1,,,CATEGORY_OR_TEXT,salesforce,0.1,,0.5,PROFILE_INPUT,,,PROFILE / CRM SOURCE,,,,0.85,BillingAddress,Account,PROFILE_INPUT,0.5,False
Account.BillingCity,salesforce,Account.Id,0.25,True,PROFILE_CARDINALITY_BEFORE_USE,Billing City,salesforce:Account:BillingCity,0.25,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=GROUPING;FILTER | recommended_use=SEGMENT;FILTER,CATEGORICAL_REVIEW,0.35,False,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,Billing City,string,Account,,,0.1,,STATE_SHARE;BREADTH,CATEGORY_OR_TEXT,salesforce,0.35,,0.5,PROFILE_INPUT,,,PROFILE / CRM SOURCE,historical_recipe_count=1; signal=0; no_signal=1; examples=Bill City Cohort; recipe_keys=HIST_SFDC_3A56B88C0385F555CCCA | historical_prior_average=0.45,,,0.85,BillingCity,Account,PROFILE_INPUT,0.7,False
Account.BillingCountry,salesforce,Account.Id,0.25,True,DIRECT_CATEGORY_WITH_MIN_COHORT_SIZE,Billing Country,salesforce:Account:BillingCountry,0.9,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=GROUPING;FILTER | recommended_use=SEGMENT;FILTER,CATEGORICAL,0.95,True,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,Billing Country,string,Account,,,0.1,,STATE_SHARE;BREADTH,CATEGORY_OR_TEXT,salesforce,0.95,,0.5,PROFILE_INPUT,,,PROFILE / CRM SOURCE,historical_recipe_count=1; signal=0; no_signal=1; examples=Bill Country Cohort; recipe_keys=HIST_SFDC_909353E84BE4AE9A3323 | historical_prior_average=0.45,,,0.85,BillingCountry,Account,PROFILE_INPUT;COHORT_DIMENSION,0.9,False
Account.BillingGeocodeAccuracy,salesforce,Account.Id,0.25,True,DIRECT_CATEGORY_AFTER_PROFILE,Billing Geocode Accuracy,salesforce:Account:BillingGeocodeAccuracy,0.65,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=GROUPING;FILTER | recommended_use=SEGMENT;FILTER,CATEGORICAL,0.7,True,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,Billing Geocode Accuracy,picklist,Account,,,0.1,INFO_ACCURACY,STATE_SHARE;BREADTH,CATEGORY_OR_TEXT,salesforce,0.7,,0.5,PROFILE_INPUT,INFORMATION,,PROFILE / CRM SOURCE,,,,0.85,BillingGeocodeAccuracy,Account,PROFILE_INPUT;COHORT_DIMENSION,0.8,False
