OwnerId,Name,Active__c,Archetype__c,Cohort_Suitability_Prior__c,Default_Bucketing_Strategy__c,Default_Windows__c,Description__c,Dictionary_Version__c,Direction_Hypothesis__c,Evidence_Basis__c,Explainability_Prior__c,Feature_Type__c,Formula_Template__c,Historical_Prior_Score__c,Measurement_Concept_Key__c,Predictive_Prior__c,Primary_Theme_Key__c,Required_Ingredient_Roles__c,Target_Feature_Class__c,Template_Key__c
005As00000NsovwIAB,% tickets under Free Support level,True,RATE,0.35,,,Historical feature recipe retained as candidate-generation evidence. Re-evaluate against current Driver semantics and live data before approval.,2.0-historical-prior,CONTEXT_DEPENDENT,"Historical recipe prior only; not current truth. Source=All_Support_Data.csv; Reporting Label=% tickets under Free Support level; Legacy Feature=Free; Legacy Driver Context=Effectiveness of resolution provided; Legacy Ingredients=['Support Level', 'Case Number']; Operation=Percentage; Signal=Signal; Resolved Current Fields=Source_Case_Number__c;Source_Support_Level__c; Derived Dependencies=.",0.8,HISTORICAL_RECIPE_PRIOR,(# of Case Numbers in the Support Level type - Free / total # of Case Numbers ) for each Account Id,0.75,PRODUCT_QUALITY,0.65,PRODUCT_SERVICE,salesforce:Case:Source_Case_Number__c;salesforce:Case:Source_Support_Level__c,DIRECT_EXPERIENCE,HIST_SFDC_01F9910D5F5B562EEE22
005As00000NsovwIAB,Renewal Manager Cohort,True,COHORT_DIMENSION,0.9,,,Historical feature recipe retained as candidate-generation evidence. Re-evaluate against current Driver semantics and live data before approval.,2.0-historical-prior,CONTEXT_DEPENDENT,Historical recipe prior only; not current truth. Source=All_Accounts.csv; Reporting Label=Renewal Manager Cohort; Legacy Feature=ren_man_acc_ltr; Legacy Driver Context=Solution sold matches your needs; Legacy Ingredients=RENEWALS_MANAGER_NAME; Operation=Cohort; Signal=No Signal; Resolved Current Fields=Renewals_Manager_Name__c; Derived Dependencies=.,0.8,HISTORICAL_RECIPE_PRIOR,Historical operation=Cohort; current ingredients=Renewals_Manager_Name__c,0.45,VALUE_RENEWAL,0.5,VALUE,salesforce:Account:Renewals_Manager_Name__c,PROFILE,HIST_SFDC_01FD2F3FF98EF7183A37
005As00000NsovwIAB,# case escalations,True,SUM,0.35,,,Historical feature recipe retained as candidate-generation evidence. Re-evaluate against current Driver semantics and live data before approval.,2.0-historical-prior,CONTEXT_DEPENDENT,Historical recipe prior only; not current truth. Source=All_Support_Data.csv; Reporting Label=# case escalations; Legacy Feature=num_escalations; Legacy Driver Context=Effectiveness of resolution provided; Legacy Ingredients=case_escalation; Operation=sum; Signal=No Signal; Resolved Current Fields=IsEscalated; Derived Dependencies=.,0.8,HISTORICAL_RECIPE_PRIOR,Sum of case_escalation for each Account ID,0.45,PROCESS_ESCALATION,0.5,PROCESS,salesforce:Case:IsEscalated,DIRECT_EXPERIENCE,HIST_SFDC_025E775FBCE024DE9111
005As00000NsovwIAB,"# how to tickets -bin(30,40)",True,BAND,0.35,,,Historical feature recipe retained as candidate-generation evidence. Re-evaluate against current Driver semantics and live data before approval.,2.0-historical-prior,CONTEXT_DEPENDENT,"Historical recipe prior only; not current truth. Source=All_Support_Data.csv; Reporting Label=# how to tickets -bin(30,40); Legacy Feature=questbybins_30_40; Legacy Driver Context=Resolution Time; Legacy Ingredients=['TTR','Root Cause','Case Number']; Operation=Bin; Signal=No Signal; Resolved Current Fields=Source_Case_Number__c;Source_Root_Cause__c;Time_to_Resolution_Days__c; Derived Dependencies=.",0.8,HISTORICAL_RECIPE_PRIOR,"Number of cases for Root Cause = 'Customer-Driven Knowledge' in TTR bin [30,40]",0.45,PRODUCT_QUALITY,0.5,PRODUCT_SERVICE,salesforce:Case:Source_Case_Number__c;salesforce:Case:Source_Root_Cause__c;salesforce:Case:Time_to_Resolution_Days__c,DIRECT_EXPERIENCE,HIST_SFDC_02E61ED78C2830903E8C
005As00000NsovwIAB,Renewal Probability,True,MEAN,0.35,,,Historical feature recipe retained as candidate-generation evidence. Re-evaluate against current Driver semantics and live data before approval.,2.0-historical-prior,CONTEXT_DEPENDENT,Historical recipe prior only; not current truth. Source=All_Opportunities.csv; Reporting Label=Renewal Probability; Legacy Feature=avg_prob; Legacy Driver Context=Sales team; Legacy Ingredients=PROBABILITY; Operation=mean; Signal=No Signal; Resolved Current Fields=Source_Probability__c; Derived Dependencies=.,0.8,HISTORICAL_RECIPE_PRIOR,Average of 'PROBABILITY' per Account Id,0.45,VALUE_RENEWAL,0.5,VALUE,salesforce:Opportunity:Source_Probability__c,DIRECT_EXPERIENCE,HIST_SFDC_033DAC32F3AC9D7662EA
005As00000NsovwIAB,Availabilty of Support Data,True,EVENT_FLAG,0.35,,,Historical feature recipe retained as candidate-generation evidence. Re-evaluate against current Driver semantics and live data before approval.,2.0-historical-prior,CONTEXT_DEPENDENT,Historical recipe prior only; not current truth. Source=All_Support_Data.csv; Reporting Label=Availabilty of Support Data; Legacy Feature=support_flag; Legacy Driver Context=Ease of use; Legacy Ingredients=total_cases; Operation=flag; Signal=Signal; Resolved Current Fields=Source_Case_Number__c; Derived Dependencies=HIST_SFDC_95E24F1337EF045B406B.,0.7,HISTORICAL_RECIPE_PRIOR,Availability of Support data for each Account Id,0.75,,0.65,,salesforce:Case:Source_Case_Number__c,DIRECT_EXPERIENCE,HIST_SFDC_047B617C0FD3B7C2CDEE
005As00000NsovwIAB,ticket category cohort,True,COHORT_DIMENSION,0.9,,,Historical feature recipe retained as candidate-generation evidence. Re-evaluate against current Driver semantics and live data before approval.,2.0-historical-prior,CONTEXT_DEPENDENT,Historical recipe prior only; not current truth. Source=All_Support_Data.csv; Reporting Label=ticket category cohort; Legacy Feature=ltr_casecategory; Legacy Driver Context=Effectiveness of resolution provided; Legacy Ingredients=Case Category; Operation=Cohort; Signal=No Signal; Resolved Current Fields=Support_Category__c; Derived Dependencies=.,0.8,HISTORICAL_RECIPE_PRIOR,Historical operation=Cohort; current ingredients=Support_Category__c,0.45,PEOPLE_OWNERSHIP,0.5,PEOPLE,salesforce:Case:Support_Category__c,PROFILE,HIST_SFDC_06402688D351F708F59C
005As00000NsovwIAB,ttr by ticket type - Upgrade,True,MEAN,0.35,,,Historical feature recipe retained as candidate-generation evidence. Re-evaluate against current Driver semantics and live data before approval.,2.0-historical-prior,CONTEXT_DEPENDENT,"Historical recipe prior only; not current truth. Source=All_Support_Data.csv; Reporting Label=ttr by ticket type - Upgrade; Legacy Feature=TTRUpgrade; Legacy Driver Context=Resolution Time; Legacy Ingredients=['Root_Cause', 'TTR']; Operation=mean; Signal=No Signal; Resolved Current Fields=Source_Root_Cause__c;Time_to_Resolution_Days__c; Derived Dependencies=.",0.8,HISTORICAL_RECIPE_PRIOR,Average of TTR in the Root_Cause type - Upgrade,0.45,PRODUCT_QUALITY,0.5,PRODUCT_SERVICE,salesforce:Case:Source_Root_Cause__c;salesforce:Case:Time_to_Resolution_Days__c,DIRECT_EXPERIENCE,HIST_SFDC_065DCA6E702E26350EB5
005As00000NsovwIAB,opportunity win rate,True,RATE,0.35,,,Historical feature recipe retained as candidate-generation evidence. Re-evaluate against current Driver semantics and live data before approval.,2.0-historical-prior,CONTEXT_DEPENDENT,"Historical recipe prior only; not current truth. Source=All_Opportunities.csv; Reporting Label=opportunity win rate; Legacy Feature=win_rate; Legacy Driver Context=Sales team; Legacy Ingredients=['C2_STAGE','OPPORTUNITY_ID']; Operation=Percentage; Signal=Signal; Resolved Current Fields=Source_Opportunity_ID__c;Source_Stage__c; Derived Dependencies=.",0.8,HISTORICAL_RECIPE_PRIOR,(Sum of Opportunities won in 'C2_STAGE' per Account Id/# of unique OPPORTUNITY_IDs per Account Id) for each Account id,0.75,PROCESS_STEPS,0.65,PROCESS,salesforce:Opportunity:Source_Opportunity_ID__c;salesforce:Opportunity:Source_Stage__c,DIRECT_EXPERIENCE,HIST_SFDC_068B766A697D54B0D134
005As00000NsovwIAB,"# tickets -bin(20,30)",True,BAND,0.35,,,Historical feature recipe retained as candidate-generation evidence. Re-evaluate against current Driver semantics and live data before approval.,2.0-historical-prior,CONTEXT_DEPENDENT,"Historical recipe prior only; not current truth. Source=All_Support_Data.csv; Reporting Label=# tickets -bin(20,30); Legacy Feature=casesbybins_20_30; Legacy Driver Context=Resolution Time; Legacy Ingredients=['TTR','Case Number']; Operation=Bin; Signal=No Signal; Resolved Current Fields=Source_Case_Number__c;Time_to_Resolution_Days__c; Derived Dependencies=.",0.8,HISTORICAL_RECIPE_PRIOR,"Number of cases in TTR bin [20,30]",0.45,TIME_DURATION,0.5,TIME,salesforce:Case:Source_Case_Number__c;salesforce:Case:Time_to_Resolution_Days__c,DIRECT_EXPERIENCE,HIST_SFDC_07356A432181D8D3BCAD
