Stable_Feature_Key,Name,Actionability_Score__c,Availability_Status__c,Bucketing_Strategy__c,Cardinality_Suitability_Score__c,Cohort_Dimension_Type__c,Cohort_Suitability_Score__c,Cohort_Suitable__c,Correlation__c,Data_Coverage_Pct__c,Direction_Hypothesis__c,Driver_Key__c,Driver_Name__c,Empirical_Predictive_Score__c,Empirical_Status__c,Explainability_Score__c,Feature_Class__c,Feature_Type__c,Formula_Expression__c,Generated_Rationale__c,Grain__c,Human_Notes__c,Human_Status__c,Leakage_Risk_Score__c,Measurement_Concept__c,Metric_Archetype__c,Minimum_Cohort_Size__c,Model_Contribution__c,Mutual_Information__c,Origin__c,Peer_Group_Utility_Score__c,Predictive_Prior_Score__c,Primary_Theme__c,Secondary_Themes__c,Stability_Score__c,Stage_Key__c,Stage_Name__c,Window_Days__c
PROFILE:ACCOUNT_TYPE:RAW,Account Type,0.25,AVAILABLE,DIRECT_CATEGORY_WITH_MIN_COHORT_SIZE,0.95,RAW_OR_GROUPING,1,True,,,CONTEXTUAL,,,,NOT_TESTED,0.75,PROFILE,ATTRIBUTE,Account.Source_Account_Type__c,"Retained Profile/Cohort candidate from Account.Source_Account_Type__c; live coverage=100.0%; distinct=2; cardinality=GOOD. Candidate is proposed for human/model tuning, not automatically approved.",Account,,PROPOSED,0.05,,PROFILE_ATTRIBUTE,30,,,FINAL_SOURCE_DICTIONARY_BOOTSTRAP,0.9,0.5,,,0.85,,,
PROFILE:COMPANY_EMPLOYEES:BAND,Company Employee Band,0.25,DERIVABLE,BUSINESS_BANDS_OR_QUANTILES,0.68,BAND,0.998,True,,,CONTEXTUAL,,,,NOT_TESTED,0.75,PROFILE,BAND,BUCKET(Account.NumberOfEmployees),"Retained Profile/Cohort candidate from Account.NumberOfEmployees; live coverage=99.54%; distinct=1683; cardinality=HIGH. Candidate is proposed for human/model tuning, not automatically approved.",Account,,PROPOSED,0.05,,BAND,30,,,FINAL_SOURCE_DICTIONARY_BOOTSTRAP,0.9,0.5,,,0.85,,,
PROFILE:COMPANY_EMPLOYEES:RAW,Company Employees,0.25,AVAILABLE,BUSINESS_BANDS_OR_QUANTILES,0.68,RAW_OR_GROUPING,0.998,True,,,CONTEXTUAL,,,,NOT_TESTED,0.75,PROFILE,ATTRIBUTE,Account.NumberOfEmployees,"Retained Profile/Cohort candidate from Account.NumberOfEmployees; live coverage=99.54%; distinct=1683; cardinality=HIGH. Candidate is proposed for human/model tuning, not automatically approved.",Account,,PROPOSED,0.05,,PROFILE_ATTRIBUTE,30,,,FINAL_SOURCE_DICTIONARY_BOOTSTRAP,0.9,0.5,,,0.85,,,
PROFILE:COMPANY_REVENUE:BAND,Company Revenue Band,0.25,DERIVABLE,BUSINESS_BANDS_OR_QUANTILES,0.68,BAND,0.999,True,,,CONTEXTUAL,,,,NOT_TESTED,0.75,PROFILE,BAND,BUCKET(Account.AnnualRevenue),"Retained Profile/Cohort candidate from Account.AnnualRevenue; live coverage=99.77%; distinct=6955; cardinality=HIGH. Candidate is proposed for human/model tuning, not automatically approved.",Account,,PROPOSED,0.05,,BAND,30,,,FINAL_SOURCE_DICTIONARY_BOOTSTRAP,0.9,0.5,,,0.85,,,
PROFILE:COMPANY_REVENUE:RAW,Company Revenue,0.25,AVAILABLE,BUSINESS_BANDS_OR_QUANTILES,0.68,RAW_OR_GROUPING,0.999,True,,,CONTEXTUAL,,,,NOT_TESTED,0.75,PROFILE,ATTRIBUTE,Account.AnnualRevenue,"Retained Profile/Cohort candidate from Account.AnnualRevenue; live coverage=99.77%; distinct=6955; cardinality=HIGH. Candidate is proposed for human/model tuning, not automatically approved.",Account,,PROPOSED,0.05,,PROFILE_ATTRIBUTE,30,,,FINAL_SOURCE_DICTIONARY_BOOTSTRAP,0.9,0.5,,,0.85,,,
PROFILE:CUSTOMER_SEGMENT:RAW,Customer Segment,0.25,AVAILABLE,DIRECT_CATEGORY_WITH_MIN_COHORT_SIZE,0.95,RAW_OR_GROUPING,1,True,,,CONTEXTUAL,,,,NOT_TESTED,0.75,PROFILE,ATTRIBUTE,Account.Customer_Segment__c,"Retained Profile/Cohort candidate from Account.Customer_Segment__c; live coverage=100.0%; distinct=4; cardinality=GOOD. Candidate is proposed for human/model tuning, not automatically approved.",Account,,PROPOSED,0.05,,PROFILE_ATTRIBUTE,30,,,FINAL_SOURCE_DICTIONARY_BOOTSTRAP,0.9,0.5,,,0.85,,,
PROFILE:CUSTOMER_TENURE:BAND,Customer Tenure Band,0.25,DERIVABLE,TENURE_YEARS_AND_BANDS,0.68,TENURE_BAND,1,True,,,CONTEXTUAL,,,,NOT_TESTED,0.75,PROFILE,BAND,"BUCKET(DATEDIFF(TODAY(),Account.Customer_Since_Date__c))","Retained Profile/Cohort candidate from Account.Customer_Since_Date__c; live coverage=100.0%; distinct=1894; cardinality=HIGH. Candidate is proposed for human/model tuning, not automatically approved.",Account,,PROPOSED,0.05,,DURATION,30,,,FINAL_SOURCE_DICTIONARY_BOOTSTRAP,0.9,0.5,,,0.85,,,
PROFILE:CUSTOMER_TENURE:RAW,Customer Tenure,0.25,AVAILABLE,TENURE_YEARS_AND_BANDS,0.68,RAW_OR_GROUPING,1,True,,,CONTEXTUAL,,,,NOT_TESTED,0.75,PROFILE,ATTRIBUTE,Account.Customer_Since_Date__c,"Retained Profile/Cohort candidate from Account.Customer_Since_Date__c; live coverage=100.0%; distinct=1894; cardinality=HIGH. Candidate is proposed for human/model tuning, not automatically approved.",Account,,PROPOSED,0.05,,DURATION,30,,,FINAL_SOURCE_DICTIONARY_BOOTSTRAP,0.9,0.5,,,0.85,,,
PROFILE:CUSTOMER_TENURE:YEARS,Customer Tenure,0.25,DERIVABLE,TENURE_YEARS,0.68,TENURE,1,True,,,CONTEXTUAL,,,,NOT_TESTED,0.75,PROFILE,DERIVED_ATTRIBUTE,"DATEDIFF(TODAY(),Account.Customer_Since_Date__c)","Retained Profile/Cohort candidate from Account.Customer_Since_Date__c; live coverage=100.0%; distinct=1894; cardinality=HIGH. Candidate is proposed for human/model tuning, not automatically approved.",Account,,PROPOSED,0.05,,DURATION,30,,,FINAL_SOURCE_DICTIONARY_BOOTSTRAP,0.9,0.5,,,0.85,,,
PROFILE:GEOGRAPHY_COUNTRY:RAW,Geography Country,0.25,AVAILABLE,DIRECT_CATEGORY_WITH_MIN_COHORT_SIZE,0.82,RAW_OR_GROUPING,1,True,,,CONTEXTUAL,,,,NOT_TESTED,0.75,PROFILE,ATTRIBUTE,Account.BillingCountry,"Retained Profile/Cohort candidate from Account.BillingCountry; live coverage=100.0%; distinct=64; cardinality=REVIEW. Candidate is proposed for human/model tuning, not automatically approved.",Account,,PROPOSED,0.05,,PROFILE_ATTRIBUTE,30,,,FINAL_SOURCE_DICTIONARY_BOOTSTRAP,0.9,0.5,,,0.85,,,
PROFILE:GEOGRAPHY_REGION:RAW,Geography Region,0.25,AVAILABLE,DIRECT_CATEGORY_WITH_MIN_COHORT_SIZE,0.95,RAW_OR_GROUPING,1,True,,,CONTEXTUAL,,,,NOT_TESTED,0.75,PROFILE,ATTRIBUTE,Account.Region__c,"Retained Profile/Cohort candidate from Account.Region__c; live coverage=100.0%; distinct=11; cardinality=GOOD. Candidate is proposed for human/model tuning, not automatically approved.",Account,,PROPOSED,0.05,,PROFILE_ATTRIBUTE,30,,,FINAL_SOURCE_DICTIONARY_BOOTSTRAP,0.9,0.5,,,0.85,,,
PROFILE:GEOGRAPHY_STATE:RAW,Geography State,0.25,AVAILABLE,DIRECT_CATEGORY_WITH_MIN_COHORT_SIZE,0.68,RAW_OR_GROUPING,0.96,True,,,CONTEXTUAL,,,,NOT_TESTED,0.75,PROFILE,ATTRIBUTE,Account.BillingState,"Retained Profile/Cohort candidate from Account.BillingState; live coverage=90.12%; distinct=276; cardinality=HIGH. Candidate is proposed for human/model tuning, not automatically approved.",Account,,PROPOSED,0.05,,PROFILE_ATTRIBUTE,30,,,FINAL_SOURCE_DICTIONARY_BOOTSTRAP,0.9,0.5,,,0.85,,,
PROFILE:INDUSTRY:RAW,Industry,0.25,AVAILABLE,DIRECT_CATEGORY_WITH_MIN_COHORT_SIZE,0.82,RAW_OR_GROUPING,1,True,,,CONTEXTUAL,,,,NOT_TESTED,0.75,PROFILE,ATTRIBUTE,Account.Source_Industry__c,"Retained Profile/Cohort candidate from Account.Source_Industry__c; live coverage=99.88%; distinct=25; cardinality=REVIEW. Candidate is proposed for human/model tuning, not automatically approved.",Account,,PROPOSED,0.05,,PROFILE_ATTRIBUTE,30,,,FINAL_SOURCE_DICTIONARY_BOOTSTRAP,0.9,0.5,,,0.85,,,
PROFILE:PRODUCT_BREADTH:RAW,Product Breadth,0.25,AVAILABLE,PRODUCT_COUNT_BANDS_OR_DIRECT_NUMERIC,0.95,RAW_OR_GROUPING,0.924,True,,,CONTEXTUAL,,,,NOT_TESTED,0.75,PROFILE,ATTRIBUTE,Account.Product_Family_Number__c,"Retained Profile/Cohort candidate from Account.Product_Family_Number__c; live coverage=80.88%; distinct=9; cardinality=GOOD. Candidate is proposed for human/model tuning, not automatically approved.",Account,,PROPOSED,0.05,,PROFILE_ATTRIBUTE,30,,,FINAL_SOURCE_DICTIONARY_BOOTSTRAP,0.9,0.5,,,0.85,,,
PROFILE:PRODUCT_FAMILY:RAW,Product Family,0.25,AVAILABLE,NORMALIZED_PRODUCT_CATEGORY,0.68,RAW_OR_GROUPING,0.918,True,,,CONTEXTUAL,,,,NOT_TESTED,0.75,PROFILE,ATTRIBUTE,Account.Product_Family_List__c,"Retained Profile/Cohort candidate from Account.Product_Family_List__c; live coverage=79.45%; distinct=252; cardinality=HIGH. Candidate is proposed for human/model tuning, not automatically approved.",Account,,PROPOSED,0.05,,PROFILE_ATTRIBUTE,30,,,FINAL_SOURCE_DICTIONARY_BOOTSTRAP,0.9,0.5,,,0.85,,,
PROFILE:RENEWAL_TIMING:DAYS,Days to Renewal,0.25,DERIVABLE,DAYS_TO_RENEWAL,0.68,RENEWAL_TIMING,0.996,True,,,CONTEXTUAL,,,,NOT_TESTED,0.75,PROFILE,DERIVED_ATTRIBUTE,"DATEDIFF(TODAY(),Account.Renewal_Date__c)","Retained Profile/Cohort candidate from Account.Renewal_Date__c; live coverage=98.94%; distinct=877; cardinality=HIGH. Candidate is proposed for human/model tuning, not automatically approved.",Account,,PROPOSED,0.05,,PROFILE_ATTRIBUTE,30,,,FINAL_SOURCE_DICTIONARY_BOOTSTRAP,0.9,0.5,,,0.85,,,
PROFILE:RENEWAL_TIMING:QUARTER,Renewal Quarter,0.25,DERIVABLE,FISCAL_QUARTER,0.68,RENEWAL_QUARTER,0.996,True,,,CONTEXTUAL,,,,NOT_TESTED,0.75,PROFILE,DERIVED_ATTRIBUTE,FISCAL_QUARTER(Account.Renewal_Date__c),"Retained Profile/Cohort candidate from Account.Renewal_Date__c; live coverage=98.94%; distinct=877; cardinality=HIGH. Candidate is proposed for human/model tuning, not automatically approved.",Account,,PROPOSED,0.05,,PROFILE_ATTRIBUTE,30,,,FINAL_SOURCE_DICTIONARY_BOOTSTRAP,0.9,0.5,,,0.85,,,
PROFILE:RENEWAL_TIMING:RAW,Renewal Timing,0.25,AVAILABLE,RENEWAL_QUARTER;DAYS_TO_RENEWAL,0.68,RAW_OR_GROUPING,0.996,True,,,CONTEXTUAL,,,,NOT_TESTED,0.75,PROFILE,ATTRIBUTE,Account.Renewal_Date__c,"Retained Profile/Cohort candidate from Account.Renewal_Date__c; live coverage=98.94%; distinct=877; cardinality=HIGH. Candidate is proposed for human/model tuning, not automatically approved.",Account,,PROPOSED,0.05,,PROFILE_ATTRIBUTE,30,,,FINAL_SOURCE_DICTIONARY_BOOTSTRAP,0.9,0.5,,,0.85,,,
PROFILE:SOURCE_ACV:BAND,Source ACV Band,0.25,DERIVABLE,BUSINESS_BANDS_OR_QUANTILES,0.68,BAND,1,True,,,CONTEXTUAL,,,,NOT_TESTED,0.75,PROFILE,BAND,BUCKET(Account.Source_ACV__c),"Retained Profile/Cohort candidate from Account.Source_ACV__c; live coverage=100.0%; distinct=5832; cardinality=HIGH. Candidate is proposed for human/model tuning, not automatically approved.",Account,,PROPOSED,0.05,,BAND,30,,,FINAL_SOURCE_DICTIONARY_BOOTSTRAP,0.9,0.5,,,0.85,,,
PROFILE:SOURCE_ACV:RAW,Source Acv,0.25,AVAILABLE,BUSINESS_BANDS_OR_QUANTILES,0.68,RAW_OR_GROUPING,1,True,,,CONTEXTUAL,,,,NOT_TESTED,0.75,PROFILE,ATTRIBUTE,Account.Source_ACV__c,"Retained Profile/Cohort candidate from Account.Source_ACV__c; live coverage=100.0%; distinct=5832; cardinality=HIGH. Candidate is proposed for human/model tuning, not automatically approved.",Account,,PROPOSED,0.05,,PROFILE_ATTRIBUTE,30,,,FINAL_SOURCE_DICTIONARY_BOOTSTRAP,0.9,0.5,,,0.85,,,
PROFILE:SUPPORT_TIER:RAW,Support Tier,0.25,AVAILABLE,DIRECT_CATEGORY_WITH_MIN_COHORT_SIZE,0.95,RAW_OR_GROUPING,1,True,,,CONTEXTUAL,,,,NOT_TESTED,0.75,PROFILE,ATTRIBUTE,Account.Account_Support_Level__c,"Retained Profile/Cohort candidate from Account.Account_Support_Level__c; live coverage=100.0%; distinct=11; cardinality=GOOD. Candidate is proposed for human/model tuning, not automatically approved.",Account,,PROPOSED,0.05,,PROFILE_ATTRIBUTE,30,,,FINAL_SOURCE_DICTIONARY_BOOTSTRAP,0.9,0.5,,,0.85,,,
