Name,Template_Key__c,Target_Feature_Class__c,Feature_Type__c,Archetype__c,Primary_Theme_Key__c,Measurement_Concept_Key__c,Description__c,Formula_Template__c,Required_Ingredient_Roles__c,Default_Windows__c,Default_Bucketing_Strategy__c,Direction_Hypothesis__c,Explainability_Prior__c,Predictive_Prior__c,Cohort_Suitability_Prior__c,Historical_Prior_Score__c,Evidence_Basis__c,Active__c,Dictionary_Version__c
Windowed Event Count,COUNT_WINDOW,DIRECT_EXPERIENCE,KPI,COUNT,ANY,,Count events for an Account in a trailing window.,COUNT({event} WHERE {account_join} AND {event_date} >= TODAY()-{window_days}),event;account_join;event_date,30;90;365,,context dependent,0.95,0.7,0.1,0.5,Generic CX measurement prior,true,2.0
Windowed Event Rate,RATE_WINDOW,DIRECT_EXPERIENCE,KPI,RATE,ANY,,Rate of events meeting a condition.,COUNT({event} WHERE {condition} AND {window}) / COUNT({eligible_event} WHERE {window}),event;condition;eligible_event;account_join;event_date,30;90;365,,context dependent,0.95,0.8,0.1,0.6,Generic CX measurement prior,true,2.0
Duration Summary,DURATION_SUMMARY,DIRECT_EXPERIENCE,KPI,DURATION,TIME,TIME_DURATION,Summary of elapsed-time values; include robust/tail summaries.,"AGG({duration_measure} WHERE {window}); AGG in MEDIAN,P75,P90,MEAN",duration_measure;account_join;business_date,30;90;365,,lower often better,1.0,0.9,0.1,0.7,Time/process metrics frequently explain experience,true,2.0
Recency,RECENCY,DIRECT_EXPERIENCE,KPI,RECENCY,TIME,TIME_RECENCY,Days since most recent relevant event.,TODAY()-MAX({event_date}),event_date;account_join,30;90;365,,context dependent,0.95,0.8,0.1,0.6,Generic CX measurement prior,true,2.0
Interaction Frequency,FREQUENCY,DIRECT_EXPERIENCE,KPI,FREQUENCY,PEOPLE,PEOPLE_ENGAGEMENT,Interaction frequency over a trailing window.,COUNT({interaction})/{window_days},interaction;interaction_date;account_join,30;90,,context dependent,0.95,0.8,0.1,0.6,Useful for engagement/relationship coverage,true,2.0
Trend Delta,TREND_DELTA,DIRECT_EXPERIENCE,KPI,TREND,ANY,,Change between recent and prior windows.,METRIC({recent_window})-METRIC({prior_window}),measure;business_date;account_join,30;90;365,,context dependent,0.9,0.8,0.1,0.5,Generic CX measurement prior,true,2.0
Variability,VARIABILITY,DIRECT_EXPERIENCE,KPI,VARIABILITY,TIME,TIME_VARIABILITY,Dispersion/consistency of a measure.,STDDEV({measure}) or P90({measure})-MEDIAN({measure}),measure;business_date;account_join,90;365,,lower often better,0.9,0.8,0.1,0.6,Useful for predictability,true,2.0
Threshold Violation Rate,THRESHOLD_RATE,DIRECT_EXPERIENCE,KPI,THRESHOLD_RATE,PROCESS,PROCESS_COMPLIANCE,Share exceeding a threshold or violating a commitment.,COUNT({measure}>{threshold})/COUNT({measure}),measure;threshold;account_join;business_date,30;90;365,,lower better,1.0,0.9,0.1,0.8,Strong explanatory/actionable pattern,true,2.0
State Share,STATE_SHARE,DIRECT_EXPERIENCE,KPI,STATE_SHARE,PROCESS,PROCESS_COMPLETION,Share of records in a business state.,COUNT({record} WHERE {state}={target_state})/COUNT({record}),record;state;account_join;business_date,30;90;365,,context dependent,0.95,0.75,0.1,0.6,Generic process prior,true,2.0
Ratio,RATIO,DIRECT_EXPERIENCE,KPI,RATIO,ANY,,Ratio between related quantities.,SUM({numerator})/SUM({denominator}),numerator;denominator;account_join,90;365,,context dependent,0.9,0.75,0.1,0.6,Generic CX measurement prior,true,2.0
Breadth,BREADTH,DIRECT_EXPERIENCE,KPI,BREADTH,ANY,,"Distinct products, people, roles, channels, or capabilities represented.",COUNT_DISTINCT({dimension}),dimension;account_join;business_date,90;365,,context dependent,0.9,0.75,0.2,0.6,Useful for coverage/adoption,true,2.0
Concentration,CONCENTRATION,DIRECT_EXPERIENCE,KPI,CONCENTRATION,ANY,,Degree to which activity/value is concentrated in one category.,MAX(COUNT_BY({dimension}))/COUNT({record}),dimension;record;account_join;business_date,90;365,,context dependent,0.8,0.65,0.1,0.4,Generic CX measurement prior,true,2.0
Transition Rate,TRANSITION_RATE,DIRECT_EXPERIENCE,KPI,TRANSITION,PROCESS,PROCESS_HANDOFF,Frequency of state/owner/team transitions.,COUNT({transition})/COUNT({eligible_record}),transition;eligible_record;account_join;business_date,90;365,,lower often better; context dependent,0.95,0.8,0.1,0.7,Useful for handoffs/rework/continuity,true,2.0
First-Time-Right Rate,FIRST_TIME_RIGHT,DIRECT_EXPERIENCE,KPI,RATE,PROCESS,PROCESS_FIRST_TIME_RIGHT,Share completed without reopen/rework/repeat contact.,COUNT({completed_without_rework})/COUNT({completed}),completed;rework_indicator;account_join;business_date,30;90;365,,higher better,1.0,0.9,0.1,0.9,Strong process/explanation prior,true,2.0
Profile Passthrough,PROFILE_PASSTHROUGH,PROFILE,ATTRIBUTE,STATE,,,Stable Account attribute used directly as a profile feature.,{account_field},account_field,,DIRECT_CATEGORY_WITH_MIN_COHORT_SIZE,contextual,0.9,0.6,0.8,0.5,Profile/cohort prior,true,2.0
Profile Numeric Band,PROFILE_NUMERIC_BAND,PROFILE,BAND,BAND,,,Numeric/currency Account attribute converted to a cohort-friendly band.,BUCKET({account_measure}),account_measure,,BUSINESS_BANDS_OR_QUANTILES,contextual,0.9,0.6,0.9,0.6,Profile/cohort prior,true,2.0
Customer Tenure,PROFILE_TENURE,PROFILE,DERIVED_ATTRIBUTE,DURATION,VALUE,VALUE_RELATIONSHIP_DURABILITY,Customer tenure derived from a customer-since/start date.,"DATEDIFF(TODAY(),{customer_since_date})",customer_since_date,,TENURE_YEARS,contextual,0.95,0.65,0.8,0.6,Profile/cohort prior,true,2.0
